time_ms,depth_m,gas_idx,pa
22945,6.715,0,163683.3
43141,13.496,0,231892.0
63341,20.278,0,300100.7
83362,26.993,0,367634.0
103558,33.774,0,435842.7
123574,40.489,0,503376.0
143770,47.271,0,571584.6
163970,50.437,0,603427.1
184166,50.577,0,604839.1
204362,50.713,0,606207.6
224558,50.842,0,607505.4
244754,50.962,0,608706.8
264950,51.069,0,609787.9
285146,51.163,0,610727.4
305342,51.240,0,611506.5
325538,51.300,0,612109.8
345734,51.341,0,612525.1
365930,51.363,0,612744.5
386126,51.365,0,612763.4
406322,51.347,0,612581.5
426518,51.309,0,612202.5
446714,51.253,0,611633.8
466910,51.178,0,610886.8
487109,51.088,0,609976.1
507305,50.983,0,608920.1
527501,50.865,0,607739.4
547697,50.738,0,606457.9
567893,50.603,0,605100.7
588089,50.463,0,603694.8
608285,50.321,0,602268.2
628481,50.180,0,600849.2
648677,50.043,0,599465.9
668873,49.913,0,598158.5
689069,49.790,0,596926.9
709265,49.679,0,595808.9
729461,49.582,0,594826.7
749657,49.499,0,593999.9
769853,49.434,0,593344.8
790049,49.387,0,592874.4
810245,49.360,0,592598.1
830444,49.352,0,592521.4
850640,49.365,0,592645.9
870836,49.397,0,592968.9
891032,49.448,0,593484.1
911228,49.517,0,594181.3
931424,49.603,0,595046.8
951620,49.705,0,596063.0
971816,49.819,0,597210.1
992012,49.943,0,598465.2
1012208,50.076,0,599803.5
1032404,50.215,0,601198.2
1052600,50.357,0,602621.8
1072796,46.224,0,561053.6
1092992,41.496,0,513506.1
1113188,35.586,0,454064.4
1121756,31.792,0,415905.0
1127264,28.733,0,385135.6
1132364,24.153,0,339073.8
1137464,14.347,0,240442.8
1157663,12.469,0,221560.0
1177859,12.469,0,221560.0
1198055,12.469,0,221560.0
1218251,12.469,0,221560.0
1238447,12.469,0,221560.0
1258643,12.227,0,219128.8
1299042,9.447,0,191170.0
1359630,9.447,0,191170.0
1379826,9.447,0,191170.0
1400022,9.447,0,191170.0
1420218,9.447,0,191170.0
1440414,8.692,0,183572.5
1445514,6.426,0,160780.0
1465710,6.426,0,160780.0
1485906,6.426,0,160780.0
1506102,6.426,0,160780.0
1526298,6.426,0,160780.0
1546494,6.426,0,160780.0
1566690,6.426,0,160780.0
1607082,3.404,0,130390.0
1627278,3.404,0,130390.0
1647474,3.404,0,130390.0
1667670,3.404,0,130390.0
1687866,3.404,0,130390.0
1728258,3.404,0,130390.0
1748454,3.404,0,130390.0
