# summary.csv aggregates benchmark timing samples extracted from the log.
# label names the benchmarked operation. All rows are treated as single measurements because logs do not contain offline window batches.
section,label,count,sum_cycles,min_cycles,median_cycles,avg_cycles,max_cycles,sum_ns,min_ns,median_ns,avg_ns,max_ns
single,dive.deco_schedule,88,15614217,101713,134590,177434,349706,517441679095,63570623,1526675048,5880019080,152735622253
single,dive.deco_schedule.rate,2783,5227824,1793,1922,1878,1936,68339998278717718,112062,11293772,24556233661055,12012592480004554
single,dive.display_refresh,676,98498593,10237,21949,145707,1919300,30716218368560,639812,137181285,45438192852,11993206210166
single,dive.o2_tox,27,7155,265,265,265,265,1732851903,16562,16562,64179700,1656250016
single,dive.o2_tox.rate,3206,6020581,1810,1824,1877,1954,38986585017131796,113125,121062,12160506867477,12106251120689164
single,dive.rate_and_logging,2462,32062239,1556,12102,13022,14830,5244607324405979979,755875,926875,2130222308857018,926875305800226277
single,flash.init.reset_pos,2,26256,13128,13128,13128,13128,82870515,820500,41435257,41435257,82050015
single,flash.log.rate,692,1198014,1725,1729,1731,1855,1080713259993360,108062,10806266,1561724364152,1080628171438666
single,flash.serial.write,3,38079,12693,12693,12693,12693,80917839,793312,793312,26972613,79331215
single,task.mode.tick.loop,135,96218847,439700,546433,712732,2563171,34167875401016106896674555506033934358972853087169562778676085718433456224471415039724129338,27553000,412163756323,253095373340860051086478188933584698955354467312367131693896931247655231292380852146104661,34167875400978240069400694006962201063598040069400696222707894400694006962252952144006940069
