# decision.csv summarizes scheduler decisions extracted from the log.
# skipped values come from the RTT bench_decision lines, so the table tracks milliseconds rather than replay iterations.
label,count,due_count,not_due_count,sum_skipped_ms,min_skipped_ms,median_skipped_ms,avg_skipped_ms,max_skipped_ms,sum_skipped_seconds,min_skipped_seconds,median_skipped_seconds,avg_skipped_seconds,max_skipped_seconds
dive.deco_schedule.rate,150,98,52,0,22569,1898054.0,8125525.5,116403023,0.000,22.569,1898.054,8125.525,116403.023
dive.display_refresh.rate,66,47,19,0,6,47.0,5198.6,46701,0.000,0.006,0.047,5.199,46.701
dive.o2_tox.rate,58,0,58,0,667487,10980071.5,54229628.0,826604047,0.000,667.487,10980.072,54229.628,826604.047
