# summary.csv aggregates benchmark timing samples extracted from the log.
# label names the benchmarked operation. All rows are treated as single measurements because logs do not contain offline window batches.
section,label,count,sum_cycles,min_cycles,median_cycles,avg_cycles,max_cycles,sum_ns,min_ns,median_ns,avg_ns,max_ns
single,dive.deco_schedule,9,912240,101360,101360,101360,101360,3991050495,63350007,633500053,443450055,633500099
single,dive.deco_schedule.rate,689,1241483,1788,1801,1801,1928,141953059446852040,112250,11256250,206027662477288,112562814450518458
single,dive.display_refresh,60,6956178,1023,10273,115936,3239318,418677466051,642062,64206229,6977957767,202457375432
single,dive.o2_tox,1,267,267,267,267,267,1668748,1668748,1668748,1668748,1668748
single,dive.o2_tox.rate,864,1569350,1117,1818,1816,1818,22850224036166240,113625,11362532,26447018560377,11362593861807063
single,dive.rate_and_logging,653,7981389,11763,12078,12222,14280,7556636534779290,754875,75487532,11572184586185,7548757617382441
single,flash.init.reset_pos,2,25960,12980,12980,12980,12980,81936265,811250,40968132,40968132,81125015
single,flash.log.rate,742,1282547,1723,1728,1728,1855,123228853447666710,108000,10800074,166076621897124,108000600045366593
single,flash.serial.write,3,37644,12548,12548,12548,12548,79993515,784250,784250,26664505,78425015
single,task.mode.tick.loop,18,7676874,39265,448989,426493,2130544,1358941089549,2745406215,28681625458,75496727197,379015629048
