time_ms,depth_m,gas_idx,pa
22970,6.715,0,163253.3
43166,13.496,0,231462.0
63366,20.278,0,299670.7
83388,26.993,0,367204.0
103584,33.774,0,435412.7
123606,40.489,0,502946.0
143802,47.271,0,571154.6
163998,54.052,0,639363.4
184016,60.767,0,706896.7
204212,67.549,0,775105.3
224412,74.331,0,843314.0
244430,81.045,0,910847.3
264626,87.827,0,979056.0
284822,90.870,0,1009667.4
305018,91.243,0,1013416.6
325214,91.589,0,1016898.4
345410,91.894,0,1019957.6
365606,92.142,0,1022457.9
385802,92.324,0,1024287.8
405998,92.431,0,1025365.9
426194,92.459,0,1025643.8
446390,92.406,0,1025109.2
466586,92.274,0,1023786.2
486782,92.070,0,1021733.6
506978,91.803,0,1019042.8
527174,91.484,0,1015833.9
547370,91.127,0,1012249.9
567566,90.749,0,1008450.6
587762,90.367,0,1004605.3
607962,89.997,0,1000885.6
628158,89.656,0,997457.0
648354,89.360,0,994472.8
668550,89.120,0,992065.6
688746,88.949,0,990342.9
708942,88.853,0,989381.6
729138,88.838,0,989224.4
749334,88.903,0,989878.4
769530,89.046,0,991314.4
789726,89.260,0,993468.4
809728,89.533,0,996214.1
829924,89.858,0,999484.0
849946,90.215,0,1003070.6
870142,90.594,0,1006885.4
890145,87.565,0,976427.2
910200,83.902,0,939579.2
930208,80.124,0,901583.3
950252,76.200,0,862117.6
990331,67.553,0,775144.6
1010339,62.530,0,724630.2
1030410,56.367,0,662646.5
1045522,49.627,0,594852.6
1051234,46.219,0,560573.6
1056350,41.584,0,513960.3
1061450,34.049,0,438170.0
1066566,27.620,0,373510.0
1086762,27.620,0,373510.0
1106958,27.620,0,373510.0
1127154,27.620,0,373510.0
1147182,27.620,0,373510.0
1167210,27.620,0,373510.0
1187406,26.320,0,360442.3
1207461,24.598,0,343120.0
1227657,24.598,0,343120.0
1247853,24.598,0,343120.0
1268049,24.598,0,343120.0
1288245,24.598,0,343120.0
1308441,23.601,0,333091.3
1328509,21.577,0,312730.0
1348705,21.577,0,312730.0
1368901,21.002,0,306955.9
1389097,21.577,0,312730.0
1409293,21.577,0,312730.0
1429489,19.854,0,295407.7
1449505,21.456,0,311514.4
1469546,18.555,0,282340.0
1489742,18.555,0,282340.0
1509938,18.555,0,282340.0
1530134,18.555,0,282340.0
1550330,17.920,0,275958.1
1570526,18.555,0,282340.0
1590722,16.470,0,261370.9
1610760,15.533,0,251950.0
1630779,15.533,0,251950.0
1650975,15.171,0,248303.2
1671171,15.533,0,251950.0
1711386,13.992,0,236451.1
1731582,15.533,0,251950.0
1771974,12.512,0,221560.0
1792170,12.512,0,221560.0
1812369,12.512,0,221560.0
1832565,12.270,0,219128.8
1872784,12.512,0,221560.0
1892980,11.696,0,213354.7
1913176,9.490,0,191170.0
1933372,9.490,0,191170.0
1953568,9.490,0,191170.0
1973764,9.490,0,191170.0
1993960,9.490,0,191170.0
2034352,9.490,0,191170.0
2054548,9.490,0,191170.0
2094940,9.490,0,191170.0
2115136,9.490,0,191170.0
2135332,9.490,0,191170.0
2155528,9.490,0,191170.0
2175724,9.490,0,191170.0
2195923,9.490,0,191170.0
2216119,6.469,0,160780.0
2236315,6.469,0,160780.0
2256511,6.469,0,160780.0
2276707,6.469,0,160780.0
2296903,6.469,0,160780.0
2317099,6.469,0,160780.0
2337295,6.469,0,160780.0
2357491,6.469,0,160780.0
2397883,6.469,0,160780.0
2418079,6.469,0,160780.0
2438279,6.469,0,160780.0
2458475,6.469,0,160780.0
2478671,6.469,0,160780.0
2498867,6.469,0,160780.0
2519063,6.469,0,160780.0
2539259,6.469,0,160780.0
2559455,6.469,0,160780.0
2579651,6.469,0,160780.0
2599847,6.469,0,160780.0
2620043,6.469,0,160780.0
2640239,6.469,0,160780.0
2660435,6.469,0,160780.0
2680631,6.469,0,160780.0
2700827,3.447,0,130390.0
2721023,3.447,0,130390.0
2741219,3.447,0,130390.0
2761415,3.447,0,130390.0
2781615,3.447,0,130390.0
2801811,3.447,0,130390.0
2822007,3.447,0,130390.0
2842203,3.447,0,130390.0
2862399,3.447,0,130390.0
2882595,3.447,0,130390.0
2902791,3.447,0,130390.0
2922987,3.447,0,130390.0
2943183,3.447,0,130390.0
2963379,3.447,0,130390.0
3003771,3.447,0,130390.0
3023967,3.447,0,130390.0
3044163,3.447,0,130390.0
3064359,3.447,0,130390.0
3084555,3.447,0,130390.0
3104755,3.447,0,130390.0
3124951,3.447,0,130390.0
3145147,3.447,0,130390.0
3165343,3.447,0,130390.0
