time_ms,depth_m,gas_idx,pa
22929,6.715,0,162563.3
43125,13.496,0,230772.0
63325,20.278,0,298980.7
83345,26.993,0,366514.0
103541,33.774,0,434722.7
123557,40.489,0,502256.0
143753,47.271,0,570464.6
163953,54.052,0,638673.4
183968,60.767,0,706206.7
204164,67.549,0,774415.3
224360,74.331,0,842624.0
244375,81.045,0,910157.3
264571,87.827,0,978366.0
284767,90.870,0,1008977.4
304963,91.243,0,1012726.6
325159,91.589,0,1016208.4
345355,91.894,0,1019267.6
365551,92.142,0,1021767.9
385747,92.324,0,1023597.8
405943,92.431,0,1024675.9
426139,92.459,0,1024953.8
446335,92.406,0,1024419.2
466533,92.274,0,1023096.2
486729,92.070,0,1021043.6
506925,91.803,0,1018352.8
527121,91.484,0,1015143.9
547317,91.127,0,1011559.9
567513,90.749,0,1007760.6
587709,90.367,0,1003915.3
607905,89.997,0,1000195.6
628101,89.656,0,996767.0
648297,89.360,0,993782.8
668493,89.120,0,991375.6
688689,88.949,0,989652.9
708885,88.853,0,988691.6
729081,88.838,0,988534.4
749277,88.903,0,989188.4
769473,89.046,0,990624.4
789673,89.260,0,992778.4
809674,89.533,0,995524.1
829870,89.858,0,998794.0
849871,90.215,0,1002380.6
870067,90.594,0,1006195.4
890087,87.569,0,975771.0
910153,83.909,0,938963.1
930175,80.142,0,901070.2
950182,76.224,0,861671.9
970218,72.092,0,820104.8
990225,67.646,0,775391.5
1010236,62.656,0,725207.7
1030257,56.543,0,663717.6
1050279,46.813,0,565861.8
1056195,42.266,0,520128.0
1061310,35.272,0,449780.2
1066410,27.688,0,373510.0
1106802,27.688,0,373510.0
1126998,27.688,0,373510.0
1147196,27.688,0,373510.0
1167392,27.688,0,373510.0
1187588,26.329,0,359834.5
1207641,24.667,0,343120.0
1227837,24.667,0,343120.0
1248033,24.667,0,343120.0
1268229,24.667,0,343120.0
1308446,23.639,0,332787.4
1328642,21.645,0,312730.0
1348838,21.645,0,312730.0
1369034,21.071,0,306955.9
1409244,21.645,0,312730.0
1429440,19.923,0,295407.7
1449636,21.494,0,311210.5
1469832,18.624,0,282340.0
1490028,18.624,0,282340.0
1530231,18.624,0,282340.0
1550427,17.989,0,275958.1
1570623,18.624,0,282340.0
1590819,16.539,0,261370.9
1630872,15.602,0,251950.0
1651068,15.179,0,247695.4
1691108,15.602,0,251950.0
1711304,14.001,0,235843.3
1731500,15.542,0,251342.2
1751570,12.580,0,221560.0
1771766,12.580,0,221560.0
1791962,12.580,0,221560.0
1812158,12.580,0,221560.0
1852550,12.580,0,221560.0
1872750,12.580,0,221560.0
1892946,11.674,0,212443.0
1912984,9.559,0,191170.0
1933180,9.559,0,191170.0
1953376,9.559,0,191170.0
1973572,9.559,0,191170.0
1993768,9.559,0,191170.0
2013964,9.559,0,191170.0
2034160,9.559,0,191170.0
2054356,9.559,0,191170.0
2074552,9.559,0,191170.0
2094748,9.559,0,191170.0
2114944,9.559,0,191170.0
2135140,9.559,0,191170.0
2155336,9.559,0,191170.0
2175532,9.559,0,191170.0
2195728,9.559,0,191170.0
2215924,6.537,0,160780.0
2236120,6.537,0,160780.0
2256316,6.537,0,160780.0
2276512,6.537,0,160780.0
2296712,6.537,0,160780.0
2316908,6.537,0,160780.0
2337104,6.537,0,160780.0
2357300,6.537,0,160780.0
2377496,6.537,0,160780.0
2397692,6.537,0,160780.0
2417888,6.537,0,160780.0
2438084,6.537,0,160780.0
2458280,6.537,0,160780.0
2498672,6.537,0,160780.0
2539064,6.537,0,160780.0
2559260,6.537,0,160780.0
2579456,6.537,0,160780.0
2599652,6.537,0,160780.0
2640047,6.537,0,160780.0
2680439,6.537,0,160780.0
2700635,3.516,0,130390.0
2720831,3.516,0,130390.0
2741027,3.516,0,130390.0
2761223,3.516,0,130390.0
2781419,3.516,0,130390.0
2801615,3.516,0,130390.0
2821811,3.516,0,130390.0
2842007,3.516,0,130390.0
2862206,3.516,0,130390.0
2882402,3.516,0,130390.0
2902598,3.516,0,130390.0
2922794,3.516,0,130390.0
2942990,3.516,0,130390.0
2963186,3.516,0,130390.0
2983382,3.516,0,130390.0
3003578,3.516,0,130390.0
3023774,3.516,0,130390.0
3043970,3.516,0,130390.0
3064166,3.516,0,130390.0
3084362,3.516,0,130390.0
3124754,3.516,0,130390.0
3144950,3.516,0,130390.0
3165146,3.516,0,130390.0
3185346,3.516,0,130390.0
3205542,3.516,0,130390.0
