# summary.csv aggregates benchmark timing samples extracted from the log.
# label names the benchmarked operation. All rows are treated as single measurements because logs do not contain offline window batches.
section,label,count,sum_cycles,min_cycles,median_cycles,avg_cycles,max_cycles,sum_ns,min_ns,median_ns,avg_ns,max_ns
single,dive.deco_schedule,85,27910819,101521,256207,328362,885463,1666998747973,63450624,4319293737,19611749976,432281875100
single,dive.deco_schedule.rate,4814,8826205,1225,1797,1833,1925,2585011951926652071,111500,11231235,536977970902919,1195005019900358592
single,dive.display_refresh,1385,273878387,1096,21982,197746,3335151,53963896923620,662250,137700043,38963102471,11931581250150
single,dive.o2_tox,27,7155,265,265,265,265,46805627,16562,16562,1733541,16562806
single,dive.o2_tox.rate,5929,10984583,115,1815,1852,1944,91253949792367623,112625,120625,15391119884022,12062593613121419
single,dive.rate_and_logging,4191,55939124,11898,13610,13347,14821,219791063644264763937,743625,926312,52443584739743441,91293744012000725631
single,flash.init.reset_pos,3,39012,13004,13004,13004,13004,243825182,81275002,81275090,81275060,81275090
single,flash.log.rate,622,1074446,1719,1724,1727,1850,1077575627195187,107437,10775071,1732436699670,1077502059526535
single,flash.serial.write,2,25146,12573,12573,12573,12573,157162492,78581202,78581246,78581246,78581290
single,task.mode.tick.loop,309,187290681,438750,548502,606118,3636412,346517395101824433630075803706991461334642603887245808925634808347108179734023590717558,27480312,3625543787397,1121415518128881662233255028177965894286869268243513944743154719569929384252503529830,342543756290222197366163629062906290427719874629062904303183276620630443290937063046535
