# decision.csv summarizes scheduler decisions extracted from the log.
# skipped values come from the RTT bench_decision lines, so the table tracks milliseconds rather than replay iterations.
label,count,due_count,not_due_count,sum_skipped_ms,min_skipped_ms,median_skipped_ms,avg_skipped_ms,max_skipped_ms,sum_skipped_seconds,min_skipped_seconds,median_skipped_seconds,avg_skipped_seconds,max_skipped_seconds
dive.deco_schedule.rate,5114,2410,2704,1765344,204,204.0,2001.5,5139,1765.344,0.204,0.204,2.002,5.139
dive.display_refresh.rate,896,547,349,1764120,204,5100.0,8167.2,61225,1764.120,0.204,5.100,8.167,61.225
dive.o2_tox.rate,1830,34,1796,1700064,204,30804.0,68002.6,436622,1700.064,0.204,30.804,68.003,436.622
