# summary.csv aggregates benchmark timing samples extracted from the log.
# label names the benchmarked operation. All rows are treated as single measurements because logs do not contain offline window batches.
section,label,count,sum_cycles,min_cycles,median_cycles,avg_cycles,max_cycles,sum_ns,min_ns,median_ns,avg_ns,max_ns
single,dive.deco_schedule,175,28201277,101295,133913,161150,348221,3923615372715,63309373,1521093789,22420659272,1523225020043
single,dive.deco_schedule.rate,7505,1636090,218,218,218,218,13625620303762305,13625,1362580,1815539014491,13625384634905557
single,dive.display_refresh,1256,300546917,21,21896,239288,1907516,1247053816073551,6631,661500643,992877242096,1192190624000017
single,dive.o2_tox,153,40545,265,265,265,265,17641995490,16562,1656271,115307160,16562500002
single,dive.o2_tox.rate,7778,1820052,234,234,234,234,532420054330,14625,1462559,68452051,146254000122
single,dive.rate_and_logging,2621,34037490,1348,12019,12986,14762,23154564381049,750625,92262592,8834248142,8901872000015
single,flash.control.write,1,39023,39023,39023,39023,39023,2438937,2438937,2438937,2438937,2438937
single,flash.init.reset_pos,5,64875,12975,12975,12975,12975,164620254,810937,810937,32924050,81093730
single,flash.point.write,715,12677764,17524,17524,17731,25752,22715029755929,1095250,109525089,31769272385,10952504000017
single,flash.serial.write,1,12543,12543,12543,12543,12543,78393713,78393713,78393713,78393713,78393713
single,task.mode.tick.loop,340,18446744069927170967,40128,1515723,54255129617432855,18446744069415110212,275289037861365885371577,32713562,106299219116,809673640768723192269,269591255174523052305230
