# decision.csv summarizes scheduler decisions extracted from the log.
# skipped values come from the RTT bench_decision lines, so the table tracks milliseconds rather than replay iterations.
label,count,due_count,not_due_count,sum_skipped_ms,min_skipped_ms,median_skipped_ms,avg_skipped_ms,max_skipped_ms,sum_skipped_seconds,min_skipped_seconds,median_skipped_seconds,avg_skipped_seconds,max_skipped_seconds
dive.deco_schedule.rate,5114,2410,2704,1765344,204,236.0,2475.9,4920,1765.344,0.204,0.236,2.476,4.920
dive.display_refresh.rate,896,547,349,1768812,204,4896.0,4535.4,20400,1768.812,0.204,4.896,4.535,20.400
dive.o2_tox.rate,1830,34,1796,1700472,204,30600.0,51529.5,436622,1700.472,0.204,30.600,51.529,436.622
