# summary.csv aggregates benchmark timing samples extracted from the log.
# label names the benchmarked operation. All rows are treated as single measurements because logs do not contain offline window batches.
section,label,count,sum_cycles,min_cycles,median_cycles,avg_cycles,max_cycles,sum_ns,min_ns,median_ns,avg_ns,max_ns
single,dive.deco_schedule,36,3665196,101811,101811,101811,101811,224493246804,63631873,636318739,6235923522,63631875003
single,dive.deco_schedule.rate,757,165783,219,219,219,219,29046002583910388,13687,1368760,38369884522999,13687312472941201
single,dive.display_refresh,87,10649112,233,10293,122403,3244774,625308346702,639562,64331224,7187452260,202798375775
single,dive.o2_tox,8,2120,265,265,265,265,23237227,16562,1656267,2904653,16562451
single,dive.o2_tox.rate,933,221121,237,237,237,237,164584895064257,14812,1481227,176403960411,148128606283951
single,dive.rate_and_logging,608,7446437,12102,12102,12247,13981,170895522323481277,756375,75637522,281078161716252,80125020484430327
single,flash.init.reset_pos,2,26004,13002,13002,13002,13002,82075141,812625,41037570,41037570,81262516
single,flash.log.rate,632,132088,209,209,209,209,1608037994298937,13062,1306268,2544363915029,1306282023533186
single,flash.serial.write,3,37710,12570,12570,12570,12570,80133766,785625,785625,26711255,78562516
single,task.mode.tick.loop,25,18081604,43901,738518,723264,2638083,2236600216665,2743850048,46102750398,89464008666,484445629224
