# summary.csv aggregates benchmark timing samples extracted from the log.
# label names the benchmarked operation. All rows are treated as single measurements because logs do not contain offline window batches.
section,label,count,sum_cycles,min_cycles,median_cycles,avg_cycles,max_cycles,sum_ns,min_ns,median_ns,avg_ns,max_ns
single,dive.deco_schedule,10,1017800,101780,101780,101780,101780,17811501649,636125012,636125049,1781150164,6361250856
single,dive.deco_schedule.rate,1857,3361008,1232,1808,1809,1950,325449919322,112750,11300079,175255745,113000700170
single,dive.display_refresh,143,41333091,107,10520,289042,3009304,4766821701592,66581,66581250,33334417493,1184308127012
single,dive.o2_tox,4,1060,265,265,265,265,18251847,16562,836413,4562961,16562458
single,dive.o2_tox.rate,1649,3010372,1124,1826,1825,1826,206974831521,114125,11412573,125515361,11412550141
single,dive.rate_and_logging,542,6635684,1178,12102,12242,13983,506451034166,756375,82603186,934411502,75637530255
single,flash.init.reset_pos,2,25968,12984,12984,12984,12984,81961517,811500,40980758,40980758,81150017
single,flash.point.write,2,35084,17542,17542,17542,17542,219275127,109637530,109637563,109637563,109637597
single,flash.serial.write,1,12553,12553,12553,12553,12553,78456217,78456217,78456217,78456217,78456217
single,task.mode.tick.loop,44,54159339,4506,1424497,1230894,3309163,8233233803422,89031062,89004688229,187118950077,2068226877057
