# decision.csv summarizes scheduler decisions extracted from the log.
# skipped values come from the RTT bench_decision lines, so the table tracks milliseconds rather than replay iterations.
label,count,due_count,not_due_count,sum_skipped_ms,min_skipped_ms,median_skipped_ms,avg_skipped_ms,max_skipped_ms,sum_skipped_seconds,min_skipped_seconds,median_skipped_seconds,avg_skipped_seconds,max_skipped_seconds
dive.deco_schedule.rate,144,88,56,362433,204,213.0,10982.8,30196,362.433,0.204,0.213,10.983,30.196
dive.display_refresh.rate,138,79,59,405885,204,23256.0,45098.3,231586,405.885,0.204,23.256,45.098,231.586
dive.o2_tox.rate,80,0,80,0,0,0.0,0.0,0,0.000,0.000,0.000,0.000,0.000
