# decision.csv summarizes scheduler decisions extracted from the log.
# skipped values come from the RTT bench_decision lines, so the table tracks milliseconds rather than replay iterations.
label,count,due_count,not_due_count,sum_skipped_ms,min_skipped_ms,median_skipped_ms,avg_skipped_ms,max_skipped_ms,sum_skipped_seconds,min_skipped_seconds,median_skipped_seconds,avg_skipped_seconds,max_skipped_seconds
dive.deco_schedule.rate,8258,2371,5887,0,104,2796071.0,46332311.3,96003000016,0.000,0.104,2796.071,46332.311,96003000.016
dive.display_refresh.rate,841,563,278,0,47,4779.0,64982.2,4740013,0.000,0.047,4.779,64.982,4740.013
dive.o2_tox.rate,3927,11,3916,0,183,8815832.5,144646294.7,205143000016,0.000,0.183,8815.833,144646.295,205143000.016
