# summary.csv aggregates benchmark timing samples extracted from the log.
# label names the benchmarked operation. All rows are treated as single measurements because logs do not contain offline window batches.
section,label,count,sum_cycles,min_cycles,median_cycles,avg_cycles,max_cycles,sum_ns,min_ns,median_ns,avg_ns,max_ns
single,dive.deco_schedule,8,811656,101457,101457,101457,101457,21623023294,63410626,634106288,2702877911,6341062513
single,dive.deco_schedule.rate,689,1248088,1796,1811,1811,1936,48682071659050371,112875,11318753,70656127226488,11318783381590219
single,dive.display_refresh,64,752142,27,10278,11752,324734,29375058645,638687,64237528,458985291,20295925072
single,dive.o2_tox,1,265,265,265,265,265,16562504,16562504,16562504,16562504,16562504
single,dive.o2_tox.rate,894,1635126,1829,1829,1829,1829,36580143624523354,114312,11431229,40917386604612,11431282722256038
single,dive.rate_and_logging,624,7624071,12076,12076,12218,14311,1017909963456,754750,75475024,1631265967,754750548686
single,flash.control.write,1,44970,44970,44970,44970,44970,2810625,2810625,2810625,2810625,2810625
single,flash.init.reset_pos,4,52020,13005,13005,13005,13005,2519718157,81281215,812812314,629929539,812812314
single,flash.log.rate,745,1290200,1726,1731,1731,1856,22935904168108127,107875,10818765,30786448547796,10818746683056787
single,flash.serial.write,3,37728,12576,12576,12576,12576,1650600643,78600015,786000314,550200214,786000314
single,task.mode.tick.loop,31,10356773,43906,45924,334089,2134314,2148930870137,27519000,28672187923,69320350649,379119372344
